Hour,Minute,Second,Millisecond,Time,Price
16,5,53,176,16:05:53.176,43
9,22,55,776,09:22:55.776,45.53
15,21,3,162,15:21:03.162,43.99
12,59,24,711,12:59:24.711,40.58
16,24,48,929,16:24:48.929,42.62
9,18,56,847,09:18:56.847,45.16
16,19,14,704,16:19:14.704,42.59
11,47,4,389,11:47:04.389,43
16,17,47,752,16:17:47.752,42.91
16,59,27,546,16:59:27.546,43.15
10,31,0,288,10:31:00.288,47.76
12,50,11,392,12:50:11.392,39.98
16,14,37,80,16:14:37.080,42.78
15,50,19,941,15:50:19.941,42.19
15,47,27,874,15:47:27.874,42.73
9,39,22,869,09:39:22.869,44.19
9,1,30,605,09:01:30.605,46.28
15,52,25,433,15:52:25.433,42.08
10,2,54,274,10:02:54.274,45.82
12,27,45,667,12:27:45.667,39.61
12,7,56,410,12:07:56.410,40.72
10,14,24,809,10:14:24.809,46.93
15,59,17,863,15:59:17.863,42.84
10,33,39,290,10:33:39.290,47.84
10,33,35,854,10:33:35.854,47.67
15,3,17,736,15:03:17.736,42.92
13,10,2,207,13:10:02.207,40.29
13,8,0,788,13:08:00.788,40.25
16,18,56,337,16:18:56.337,43.02
11,4,26,864,11:04:26.864,46.41
10,57,30,989,10:57:30.989,44.96
16,8,59,235,16:08:59.235,43.4
13,52,4,483,13:52:04.483,42.36
9,10,51,913,09:10:51.913,46.24
11,13,5,156,11:13:05.156,45.93
13,11,22,735,13:11:22.735,40.33
12,26,12,671,12:26:12.671,39.81
13,37,14,570,13:37:14.570,42.81
15,53,0,603,15:53:00.603,41.97
9,10,33,179,09:10:33.179,46.21
14,40,53,173,14:40:53.173,43.02
11,33,57,611,11:33:57.611,43.52
11,20,54,427,11:20:54.427,45.31
16,10,13,6,16:10:13.006,43.58
10,12,32,726,10:12:32.726,46.74
13,2,25,729,13:02:25.729,41.19
10,25,42,74,10:25:42.074,48.27
11,22,3,655,11:22:03.655,45.06
11,35,28,864,11:35:28.864,43.36
9,21,55,516,09:21:55.516,45.98
12,47,46,314,12:47:46.314,39.66
14,57,30,247,14:57:30.247,43.45
10,23,58,876,10:23:58.876,47.37
10,37,44,958,10:37:44.958,46.3
12,5,42,576,12:05:42.576,40.41
11,32,6,623,11:32:06.623,42.99
15,9,3,142,15:09:03.142,42.33
14,14,4,13,14:14:04.013,40.25
13,47,18,362,13:47:18.362,42.45
11,19,43,578,11:19:43.578,45.73
9,9,57,92,09:09:57.092,46.27
9,20,42,592,09:20:42.592,45.73
10,1,46,403,10:01:46.403,45.85
11,47,22,238,11:47:22.238,43.09
14,5,10,573,14:05:10.573,38.93
12,23,49,282,12:23:49.282,39.13
13,41,45,99,13:41:45.099,42.75
15,8,43,98,15:08:43.098,42.41
14,50,46,819,14:50:46.819,43.72
11,19,46,827,11:19:46.827,45.79
12,46,38,328,12:46:38.328,38.82
11,15,53,914,11:15:53.914,45.36
12,26,27,682,12:26:27.682,39.53
16,3,9,873,16:03:09.873,42.01
11,54,11,920,11:54:11.920,41.57
16,19,28,827,16:19:28.827,42.32
9,7,11,134,09:07:11.134,46.35
15,46,53,362,15:46:53.362,42.74
12,49,10,184,12:49:10.184,39.64
9,53,12,741,09:53:12.741,45.32
11,48,41,965,11:48:41.965,43.26
15,49,50,605,15:49:50.605,42.61
12,58,47,543,12:58:47.543,40.34
10,48,56,841,10:48:56.841,45.88
