Hour,Minute,Second,Millisecond,Time,Price
9,0,0,115,09:00:00.115,102.981
9,0,0,361,09:00:00.361,103.086
9,0,0,391,09:00:00.391,103.313
9,0,0,428,09:00:00.428,103.237
9,0,0,647,09:00:00.647,103.149
9,0,0,791,09:00:00.791,103.291
9,0,1,294,09:00:01.294,103.292
9,0,1,660,09:00:01.660,103.316
9,0,2,242,09:00:02.242,103.374
9,0,2,486,09:00:02.486,103.272
9,0,2,993,09:00:02.993,103.344
9,0,3,171,09:00:03.171,103.438
9,0,3,388,09:00:03.388,103.439
9,0,3,702,09:00:03.702,103.469
9,0,3,841,09:00:03.841,103.699
9,0,4,420,09:00:04.420,103.73
9,0,4,629,09:00:04.629,103.92
9,0,4,819,09:00:04.819,104.019
9,0,5,250,09:00:05.250,104.219
9,0,5,525,09:00:05.525,104.13
9,0,5,615,09:00:05.615,104.026
9,0,6,33,09:00:06.033,103.954
9,0,6,533,09:00:06.533,104.024
9,0,6,679,09:00:06.679,104.019
9,0,6,769,09:00:06.769,104.146
9,0,7,17,09:00:07.017,103.995
9,0,7,468,09:00:07.468,104.017
9,0,7,779,09:00:07.779,103.897
9,0,8,34,09:00:08.034,103.784
9,0,8,452,09:00:08.452,103.854
9,0,8,812,09:00:08.812,103.888
9,0,9,277,09:00:09.277,103.796
9,0,9,739,09:00:09.739,103.653
9,0,9,891,09:00:09.891,103.474
9,0,10,404,09:00:10.404,103.546
9,0,10,764,09:00:10.764,103.654
9,0,11,207,09:00:11.207,103.507
9,0,11,726,09:00:11.726,103.537
9,0,12,149,09:00:12.149,103.624
9,0,12,488,09:00:12.488,103.759
9,0,12,719,09:00:12.719,103.595
9,0,13,34,09:00:13.034,103.491
9,0,13,142,09:00:13.142,103.619
9,0,13,458,09:00:13.458,103.504
9,0,13,473,09:00:13.473,103.356
9,0,13,729,09:00:13.729,103.256
9,0,14,170,09:00:14.170,103.396
9,0,14,343,09:00:14.343,103.35
9,0,14,830,09:00:14.830,103.289
9,0,15,215,09:00:15.215,103.223
9,0,15,629,09:00:15.629,103.444
9,0,16,218,09:00:16.218,103.258
9,0,16,409,09:00:16.409,103.256
9,0,16,671,09:00:16.671,103.378
9,0,17,201,09:00:17.201,103.296
9,0,17,801,09:00:17.801,103.467
9,0,18,161,09:00:18.161,103.626
9,0,18,428,09:00:18.428,103.662
9,0,18,683,09:00:18.683,103.583
9,0,19,138,09:00:19.138,103.807
9,0,19,339,09:00:19.339,103.862
9,0,19,692,09:00:19.692,103.905
9,0,19,759,09:00:19.759,103.9
9,0,20,205,09:00:20.205,103.824
9,0,20,390,09:00:20.390,103.645
9,0,20,572,09:00:20.572,103.702
9,0,20,618,09:00:20.618,103.601
9,0,20,856,09:00:20.856,103.481
9,0,21,251,09:00:21.251,103.3
9,0,21,554,09:00:21.554,103.378
9,0,22,42,09:00:22.042,103.381
9,0,22,134,09:00:22.134,103.241
9,0,22,308,09:00:22.308,103.285
9,0,22,858,09:00:22.858,103.215
9,0,23,40,09:00:23.040,103.17
9,0,23,452,09:00:23.452,103.213
9,0,23,848,09:00:23.848,103.021
9,0,24,246,09:00:24.246,102.879
9,0,24,624,09:00:24.624,102.885
9,0,25,203,09:00:25.203,103.047
9,0,25,651,09:00:25.651,103.225
9,0,26,41,09:00:26.041,103.211
9,0,26,324,09:00:26.324,103.255
9,0,26,917,09:00:26.917,103.231
9,0,26,980,09:00:26.980,103.386
9,0,27,381,09:00:27.381,103.451
9,0,27,551,09:00:27.551,103.314
9,0,27,607,09:00:27.607,103.333
9,0,27,872,09:00:27.872,103.486
9,0,28,346,09:00:28.346,103.609
9,0,28,778,09:00:28.778,103.533
9,0,29,197,09:00:29.197,103.461
9,0,29,710,09:00:29.710,103.491
9,0,30,288,09:00:30.288,103.618
9,0,30,483,09:00:30.483,103.525
9,0,30,673,09:00:30.673,103.491
9,0,30,887,09:00:30.887,103.569
9,0,31,27,09:00:31.027,103.431
9,0,31,316,09:00:31.316,103.501
9,0,31,453,09:00:31.453,103.381
9,0,31,611,09:00:31.611,103.318
9,0,32,187,09:00:32.187,103.338
9,0,32,465,09:00:32.465,103.337
9,0,33,40,09:00:33.040,103.327
9,0,33,235,09:00:33.235,103.236
9,0,33,664,09:00:33.664,103.147
9,0,34,210,09:00:34.210,102.975
9,0,34,795,09:00:34.795,102.84
9,0,34,828,09:00:34.828,102.675
9,0,34,852,09:00:34.852,102.866
9,0,35,26,09:00:35.026,103.029
9,0,35,51,09:00:35.051,103.041
9,0,35,76,09:00:35.076,103.044
9,0,35,131,09:00:35.131,103.188
9,0,35,508,09:00:35.508,103.11
9,0,36,88,09:00:36.088,103.1
9,0,36,238,09:00:36.238,103.241
9,0,36,386,09:00:36.386,103.35
9,0,36,781,09:00:36.781,103.213
9,0,36,797,09:00:36.797,103.217
9,0,37,234,09:00:37.234,103.371
9,0,37,281,09:00:37.281,103.54
9,0,37,523,09:00:37.523,103.625
9,0,37,760,09:00:37.760,103.524
9,0,37,995,09:00:37.995,103.627
9,0,38,381,09:00:38.381,103.707
9,0,38,470,09:00:38.470,103.776
9,0,38,966,09:00:38.966,103.966
9,0,39,431,09:00:39.431,103.812
9,0,39,681,09:00:39.681,103.779
9,0,39,827,09:00:39.827,103.813
9,0,39,838,09:00:39.838,103.863
9,0,39,979,09:00:39.979,103.958
9,0,40,501,09:00:40.501,104.069
9,0,41,3,09:00:41.003,104.122
9,0,41,224,09:00:41.224,104.115
9,0,41,342,09:00:41.342,103.999
9,0,41,787,09:00:41.787,103.944
9,0,41,932,09:00:41.932,103.953
9,0,41,997,09:00:41.997,104.016
9,0,42,232,09:00:42.232,104.213
9,0,42,528,09:00:42.528,104.28
9,0,42,656,09:00:42.656,104.447
9,0,42,910,09:00:42.910,104.289
9,0,43,347,09:00:43.347,104.358
9,0,43,460,09:00:43.460,104.391
9,0,43,928,09:00:43.928,104.549
9,0,44,2,09:00:44.002,104.429
9,0,44,364,09:00:44.364,104.449
9,0,44,691,09:00:44.691,104.513
9,0,44,780,09:00:44.780,104.621
9,0,45,110,09:00:45.110,104.635
9,0,45,288,09:00:45.288,104.727
9,0,45,775,09:00:45.775,104.831
9,0,45,825,09:00:45.825,104.903
9,0,46,106,09:00:46.106,104.799
9,0,46,507,09:00:46.507,999
9,0,46,514,09:00:46.514,104.75
9,0,47,96,09:00:47.096,104.756
9,0,47,571,09:00:47.571,104.779
9,0,48,124,09:00:48.124,104.8
9,0,48,514,09:00:48.514,104.724
9,0,48,625,09:00:48.625,104.682
9,0,48,886,09:00:48.886,104.802
9,0,49,56,09:00:49.056,104.672
9,0,49,154,09:00:49.154,104.806
9,0,49,671,09:00:49.671,104.861
9,0,50,203,09:00:50.203,104.835
9,0,50,789,09:00:50.789,104.827
9,0,50,830,09:00:50.830,104.957
9,0,51,129,09:00:51.129,105.014
9,0,51,532,09:00:51.532,104.986
9,0,52,93,09:00:52.093,104.89
9,0,52,493,09:00:52.493,104.868
9,0,52,674,09:00:52.674,104.895
9,0,52,729,09:00:52.729,104.807
9,0,52,921,09:00:52.921,104.785
9,0,53,457,09:00:53.457,104.634
9,0,54,11,09:00:54.011,104.672
9,0,54,261,09:00:54.261,104.755
9,0,54,311,09:00:54.311,104.534
9,0,54,431,09:00:54.431,104.417
9,0,54,649,09:00:54.649,104.417
9,0,54,789,09:00:54.789,104.415
9,0,55,386,09:00:55.386,104.557
9,0,55,424,09:00:55.424,104.622
9,0,55,733,09:00:55.733,104.472
9,0,55,745,09:00:55.745,104.476
9,0,55,896,09:00:55.896,104.505
9,0,56,388,09:00:56.388,104.655
9,0,56,589,09:00:56.589,104.457
9,0,57,163,09:00:57.163,104.296
9,0,57,624,09:00:57.624,104.413
9,0,57,749,09:00:57.749,104.487
9,0,58,73,09:00:58.073,104.739
9,0,58,613,09:00:58.613,104.559
9,0,59,78,09:00:59.078,104.598
9,0,59,548,09:00:59.548,104.47
9,0,59,548,09:00:59.548,104.42
9,1,0,24,09:01:00.024,104.451
9,1,0,235,09:01:00.235,104.328
9,1,0,758,09:01:00.758,104.278
9,1,1,340,09:01:01.340,104.192
9,1,1,703,09:01:01.703,104.082
9,1,2,153,09:01:02.153,104.04
9,1,2,506,09:01:02.506,103.983
9,1,2,723,09:01:02.723,104.038
